2024-06-09 22:09:39 status unpacked pi-bluetooth:all 0.1.7
2024-06-09 22:09:39 status half-installed pi-bluetooth:all 0.1.7
2024-06-09 22:09:39 status half-installed pi-bluetooth:all 0.1.7
2024-06-09 22:09:40 status unpacked pi-bluetooth:all 0.1.10
2024-06-09 22:09:40 status unpacked pi-bluetooth:all 0.1.10
2024-06-09 22:09:40 upgrade python-rpi.gpio:armhf 0.6.3~stretch-1 0.6.5~stretch-1
2024-06-09 22:09:40 status half-configured python-rpi.gpio:armhf 0.6.3~stretch-1
2024-06-09 22:09:41 status unpacked python-rpi.gpio:armhf 0.6.3~stretch-1
2024-06-09 22:09:41 status half-installed python-rpi.gpio:armhf 0.6.3~stretch-1
2024-06-09 22:09:41 status half-installed python-rpi.gpio:armhf 0.6.3~stretch-1
2024-06-09 22:09:41 status unpacked python-rpi.gpio:armhf 0.6.5~stretch-1
2024-06-09 22:09:41 status unpacked python-rpi.gpio:armhf 0.6.5~stretch-1
2024-06-09 22:09:41 upgrade python-six:all 1.10.0-3 1.12.0-0+rpt1
2024-06-09 22:09:41 status half-configured python-six:all 1.10.0-3
2024-06-09 22:09:42 status unpacked python-six:all 1.10.0-3
2024-06-09 22:09:42 status half-installed python-six:all 1.10.0-3
2024-06-09 22:09:42 status half-installed python-six:all 1.10.0-3
2024-06-09 22:09:42 status unpacked python-six:all 1.12.0-0+rpt1
2024-06-09 22:09:42 status unpacked python-six:all 1.12.0-0+rpt1
2024-06-09 22:09:42 upgrade raspi-copies-and-fills:armhf 0.6 0.11
2024-06-09 22:09:42 status half-configured raspi-copies-and-fills:armhf 0.6
2024-06-09 22:09:42 status unpacked raspi-copies-and-fills:armhf 0.6
2024-06-09 22:09:42 status half-installed raspi-copies-and-fills:armhf 0.6
2024-06-09 22:09:42 status half-installed raspi-copies-and-fills:armhf 0.6
2024-06-09 22:09:42 status unpacked raspi-copies-and-fills:armhf 0.11
2024-06-09 22:09:42 status unpacked raspi-copies-and-fills:armhf 0.11
2024-06-09 22:09:42 upgrade wireless-regdb:all 2016.06.10-1 2018.05.09-0~rpt1
2024-06-09 22:09:42 status half-configured wireless-regdb:all 2016.06.10-1
2024-06-09 22:09:42 status unpacked wireless-regdb:all 2016.06.10-1
2024-06-09 22:09:42 status half-installed wireless-regdb:all 2016.06.10-1
2024-06-09 22:09:42 status half-installed wireless-regdb:all 2016.06.10-1
2024-06-09 22:09:44 status unpacked wireless-regdb:all 2018.05.09-0~rpt1
2024-06-09 22:09:44 status unpacked wireless-regdb:all 2018.05.09-0~rpt1
